NaamNL,Afkorting
Algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking,BuHaOS
"Algemene commissie voor Immigratie, Integratie en Asiel",IA
Algemene commissie voor Integratiebeleid,INT
Algemene commissie voor Jeugd en Gezin,JG
Algemene commissie voor Jeugdzorg,JEUGD
Algemene commissie voor Wonen en Rijksdienst,WR
"Algemene commissie voor Wonen, Wijken en Integratie",WWI
Begeleidingscommissie Staatscommissie parlementair stelsel,BSPS
Benelux Interparlementaire Assemblee,Bene
Bijzondere commissie van overleg van de Staten-Generaal,BCO
Bouwbegeleidingscommissie,BBC
Commissie van onderzoek,Cvo
Commissie Vernieuwing Wet op de Parlementaire Enquête,VWPE
Commissie voor de emolumenten van de leden van de Tweede Kamer der Staten-Generaal,Emol
Commissie voor de Inlichtingen- en Veiligheidsdiensten,IV
Commissie voor de Rijksuitgaven,RU
Commissie voor de Rijksuitgaven,RU
Commissie voor de Verzoekschriften en de Burgerinitiatieven,VERZ
Commissie voor de Werkwijze,WERK
Commissie voor het Onderzoek van de Geloofsbrieven,GELO
Contactgroep België,CGB
Contactgroep Duitsland,CGD
Contactgroep Frankrijk,CGF
Contactgroep Groot Brittannië,CGGB
Contactgroep Verenigd Koninkrijk,CGVK
Contactgroep Verenigde Staten,CGVS
Enquêtecommissie Bouwnijverheid,Bouw
Enquêtecommissie Opsporingsmethoden,OPSMETH
Enquêtecommissie Srebrenica,Srebr
Enquêtecommissie Vliegramp Bijlmermeer,BIJL
Europese Veiligheids- en Defensie Assemblee (voorheen WEU),EVDA
Gebruikers- en Adviesorgaan inzake Automatisering (GAA),GAA
Gemengde commissie van Afstemming en Advies voor de griffie Internationale Betrekkingen,GCAAGIB
Gemengde commissie van beroep voor de Dienst Verslag en Redactie,GCBDVR
Gemengde commissie voor de Stenografische dienst der Staten-Generaal,STENO
Gezamenlijke toezichtsgroep Europol,JPSG
Interparlementaire commissie inzake de Nederlandse Taalunie,TAAL
IPC Artikel 13,IPC Artikel 13
IPC Cosac,IPC Cosac
IPC Energie,IPC Energie
IPC GBVB/GVDB,IPC GBVB/GVDB
IPC Mensenhandel,IPC Mensenhandel
Kunstcommissie,KUNST
Kunstcommissie,KUNST
NAVO Assemblee,NAA
Nederlandse Groep van de Interparlementaire Unie,IPU
OVSE-Assemblee,OVSE
Parlementaire Assemblee van de Unie voor de Mediterrane Regio,PAUfM
Parlementaire enquêtecommissie aardgaswinning Groningen,PEAG
Parlementaire enquêtecommissie financieel stelsel,PEFS
Parlementaire Enquêtecommissie Fraudebeleid en Dienstverlening,PEFD
parlementaire enquetecommissie Fyra,PEF
Parlementaire enquêtecommissie Woningcorporaties,PEW
Parlementaire ondervragingscommissie Fiscale constructies,POFC
Parlementaire ondervragingscommissie Kinderopvangtoeslag,POK
Parlementaire ondervragingscommissie ongewenste beïnvloeding uit onvrije landen,POCOB
Parlementaire Vergadering van de Raad van Europa,RVE
Presidium,PRES
Strategisch Overleg Informatievoorziening,STOI
Stuurgroep Automatisering en Documentatie,STAD
Themacommissie Dierhouderij,THDI
Themacommissie Ouderenbeleid,THOUD
Themacommissie Technologiebeleid,THTCH
Tijdelijke commissie aanvullende onderwerpen NIOD-rapport,TCNIOD
Tijdelijke commissie Aardgaswinning Groningen,TCAG
Tijdelijke commissie benoeming Nationale ombudsman,TCBNO
Tijdelijke commissie Besluitvorming uitzendingen,TCUIT
Tijdelijke commissie Biotechnologie,TCBIO
Tijdelijke commissie Breed welvaartsbegrip,TCBRW
Tijdelijke commissie College van Toezicht Centrale Verzekeringen,CTSV
Tijdelijke commissie Corona,TCC
Tijdelijke commissie Digitale toekomst,TCDT
Tijdelijke commissie evaluatie Wet Parlementaire Enquête,TCEWPE
Tijdelijke commissie Fraudebeleid en Dienstverlening,TCFD
Tijdelijke commissie Fyra,TCFYRA
Tijdelijke commissie Huizenprijzen,TCH
Tijdelijke commissie ICT,TCICT
Tijdelijke commissie Klimaatverandering,KLIMA
Tijdelijke Commissie Lessen uit recente arbeidsmigratie,TCLURA
Tijdelijke commissie Onderzoek Bouwfraude,TCOB
Tijdelijke commissie onderzoek financieel stelsel,TCOFS
Tijdelijke commissie Onderzoek integratiebeleid,TCINT
Tijdelijke commissie Onderzoek naar Infrastructuurprojecten,TCINFRA
Tijdelijke commissie Onderzoek Stichting Woningbeheer Limburg,WBL
Tijdelijke Commissie Onderzoek TBS,TCTBS
Tijdelijke commissie onderzoek Zorguitgaven,TCOZ
Tijdelijke commissie Opsporingsmethoden,TCOPS
Tijdelijke commissie Parlementair onderzoek Onderhoud en innovatie spoor,TCSPOOR
Tijdelijke commissie Parlementair onderzoek Onderwijsvernieuwingen,TCPOO
Tijdelijke commissie subsidiariteitstoets,TCS
Tijdelijke commissie toezicht Verzekeringskamer,TVK
Tijdelijke commissie Uitvoeringsorganisaties,TCU
Tijdelijke commissie Woningcorporaties,TCW
Tijdelijke gemengde commissie subsidiariteitstoets,TCSUB
Vaste commissie voor Binnenlandse Zaken,BIZA
Vaste commissie voor Binnenlandse Zaken en Koninkrijksrelaties,BZK
Vaste commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking,BuHaOS
Vaste commissie voor Buitenlandse Zaken,BUZA
Vaste commissie voor Defensie,DEF
vaste commissie voor Digitale Zaken,DiZa
Vaste commissie voor Economische Zaken,EZ
Vaste commissie voor Economische Zaken en Klimaat,EZK
"Vaste commissie voor Economische Zaken, Landbouw en Innovatie",ELI
Vaste commissie voor Europese Zaken,EU
Vaste commissie voor Financiën,FIN
Vaste commissie voor Infrastructuur en Milieu,IM
Vaste commissie voor Infrastructuur en Waterstaat,I&W
Vaste commissie voor Justitie,JUST
Vaste commissie voor Justitie en Veiligheid,J&V
Vaste commissie voor Koninkrijksrelaties,KR
"Vaste commissie voor Landbouw, Natuur en Voedselkwaliteit",LNV
Vaste commissie voor Nederlands-Antilliaanse en Arubaanse Zaken,NAAZ
vaste commissie voor Onderwijs en Wetenschappen,O&W
"Vaste commissie voor Onderwijs, Cultuur en Wetenschap",OCW
Vaste commissie voor Sociale Zaken en Werkgelegenheid,SZW
Vaste commissie voor Veiligheid en Justitie,VJ
Vaste commissie voor Verkeer en Waterstaat,VW
"Vaste commissie voor Volksgezondheid, Welzijn en Sport",VWS
"Vaste commissie voor Volkshuisvesting, Ruimtelijke Ordening en Milieubeheer",VROM
"Vaste commissie voor Welzijn, Volksgezondheid en Cultuur",WVC
Werkgroep 5e Nota Ruimtelijke Ordening,WGRO
Werkgroep Financiële Verantwoordingen,WFV
